,state,product,square_ft,has_fire_alarm,has_burglar_alarm,portable_electronics,coast,fire_housing_proximity,previous_policies,user_age,card_type,label,number_of_na,median_household_income
-9.16005e+18_2.49201e+18,NM,ho4,1099.0,True,True,0.0,-1,5,0,39.0,credit,False,2,72898.0
-8.929e+18_8.86075e+17,WI,ho4,1099.0,True,False,1.0,30.0,1,0,19.0,debit,False,1,30019.0
-9.01598e+18_5.52729e+18,WI,ho4,1099.0,True,False,1.0,1.0,1,0,20.0,debit,True,1,60195.0
-9.06003e+18_6.4534e+18,NM,ho4,1099.0,True,True,1.0,-1,1,0,33.0,debit,False,2,46613.0
-8.80172e+18_-8.83639e+18,AR,ho4,1099.0,False,False,1.0,-1,1,0,20.0,debit,False,2,61457.0
-9.00884e+18_2.24867e+18,WI,ho4,1099.0,False,False,1.0,30.0,3,1,23.0,credit,False,1,99578.0
-9.06689e+18_2.94016e+17,RI,ho4,1400.0,True,False,1.0,0.0,4,0,40.0,credit,False,1,91892.0
-9.12443e+18_7.78981e+18,NM,ho4,1099.0,True,False,1.0,-1,1,0,58.0,debit,False,2,28818.0
-8.95974e+18_-8.66367e+18,RI,ho4,1400.0,False,False,1.0,10.0,2,2,19.0,debit,False,1,45042.0
-9.20302e+18_-7.58462e+18,IA,ho4,1099.0,True,True,1.0,-1,3,0,24.0,debit,False,2,93438.0
-8.93878e+18_-4.60395e+18,IA,ho4,1099.0,True,False,0.0,-1,3,2,21.0,credit,False,2,43224.0
-9.15327e+18_6.81389e+18,NM,ho4,1099.0,True,False,0.0,-1,1,0,22.0,debit,False,2,36267.0
-9.09872e+18_5.14347e+18,WI,ho4,1099.0,True,False,1.0,30.0,1,0,20.0,debit,False,1,36631.0
-9.21502e+18_4.50395e+18,IA,ho4,1099.0,True,False,1.0,-1,2,0,35.0,debit,False,2,58051.0
-8.99547e+18_6.04528e+18,CT,ho4,2011.5,False,False,1.0,30.0,2,0,31.0,credit,False,1,81117.0
-8.80939e+18_-2.03031e+18,IA,ho4,1099.0,False,False,0.0,-1,3,0,20.0,debit,False,2,38527.0
-9.0299e+18_-8.01596e+17,IA,ho4,1099.0,False,False,1.0,-1,2,0,24.0,debit,False,4,46644.0
-9.15423e+18_-6.5375e+18,RI,ho4,1400.0,True,True,0.0,2.0,4,0,44.0,debit,False,1,91892.0
-9.12443e+18_7.01321e+18,NM,ho4,1099.0,True,False,1.0,-1,1,1,58.0,debit,False,2,28818.0
-8.84016e+18_4.5444e+18,RI,ho4,1400.0,True,False,0.0,15.0,1,0,39.0,debit,False,1,57019.0
-9.00921e+18_4.93302e+18,WI,ho4,1099.0,True,False,1.0,10.0,4,0,22.0,debit,False,1,64622.0
-9.19098e+18_-3.62164e+18,CT,ho4,2011.5,True,False,1.0,20.0,4,0,41.0,credit,False,1,107388.0
-9.04532e+18_1.26361e+18,NM,ho4,1099.0,True,False,1.0,-1,1,0,32.0,debit,False,2,67414.0
-9.00884e+18_3.78637e+18,WI,ho4,1099.0,False,False,1.0,30.0,3,0,23.0,credit,False,1,99578.0
-8.82801e+18_-6.63326e+18,RI,ho4,1400.0,True,False,1.0,15.0,3,0,33.0,credit,False,1,81810.0
-8.99078e+18_6.36174e+18,AR,ho4,1099.0,True,True,0.0,-1,1,0,19.0,credit,False,2,37660.0
-9.14624e+18_-2.30273e+18,NM,ho4,1099.0,True,False,0.0,-1,2,0,24.0,debit,False,2,52581.0
-9.14753e+18_-9.85595e+17,IA,ho4,1099.0,True,False,1.0,-1,2,0,24.0,debit,False,2,46644.0
-9.18483e+18_2.0474e+18,WI,ho4,1099.0,True,False,0.0,30.0,1,0,20.0,debit,False,1,36631.0
-9.10338e+18_1.59453e+17,IA,ho4,1099.0,True,False,0.0,-1,3,0,19.0,debit,False,2,38527.0
-8.91173e+18_-4.7518e+18,WI,ho4,1099.0,True,False,1.0,30.0,1,0,21.0,debit,False,1,36631.0
-9.16682e+18_8.37011e+18,RI,ho4,1400.0,True,False,1.0,10.0,2,0,23.0,debit,False,1,30711.0
-8.8712e+18_-1.77025e+18,NM,ho4,1099.0,True,False,1.0,-1,2,0,41.0,credit,False,2,110190.0
-8.86603e+18_-1.17151e+18,NM,ho4,1099.0,False,False,1.0,-1,1,1,23.0,debit,False,2,36267.0
-8.86603e+18_3.20405e+18,NM,ho4,1099.0,False,False,1.0,-1,1,0,23.0,debit,False,2,28818.0
-9.03119e+18_-8.95507e+18,CT,ho4,2011.5,True,False,1.0,0.0,3,0,51.0,debit,False,1,70553.0
-9.20005e+18_5.63515e+18,RI,ho4,1400.0,True,True,0.0,15.0,3,0,50.0,debit,False,1,60574.0
-9.15745e+18_-6.81237e+18,RI,ho4,1400.0,True,False,1.0,10.0,2,0,23.0,credit,False,1,70184.0
-9.1056e+18_-2.11666e+18,RI,ho4,1400.0,True,True,1.0,10.0,2,0,31.0,credit,False,1,77411.0
-8.81323e+18_-6.98999e+18,IA,ho4,1099.0,True,False,1.0,-1,3,0,22.0,credit,False,2,59148.0
-9.19802e+18_-6.36e+18,IA,ho4,1099.0,True,False,1.0,-1,2,0,31.0,debit,False,2,38024.0
-9.17614e+18_-1.8765e+17,CT,ho4,2011.5,True,True,1.0,10.0,5,0,47.0,debit,False,1,85348.0
-9.0661e+18_-1.23132e+18,NM,ho4,1099.0,True,False,1.0,-1,1,0,34.0,credit,False,2,28476.0
-9.21036e+18_-8.1739e+17,WI,ho4,1099.0,True,False,1.0,15.0,3,0,48.0,debit,False,1,76772.0
-9.19109e+18_6.59552e+18,WI,ho4,1099.0,True,False,1.0,5.0,3,0,34.0,debit,False,1,49882.0
-9.2183e+18_2.49259e+18,CT,ho4,2223.0,True,True,1.0,2.0,3,0,27.0,credit,False,1,93887.0
-9.00625e+18_9.15412e+18,WI,ho4,1099.0,True,False,1.0,30.0,4,0,30.0,debit,False,1,67222.0
-9.20519e+18_-5.39713e+18,WI,ho4,1099.0,True,False,0.0,20.0,2,0,63.0,credit,False,1,66359.0
