,state,product,square_ft,has_fire_alarm,has_burglar_alarm,portable_electronics,coast,fire_housing_proximity,previous_policies,user_age,card_type,label,number_of_na,grouped_postal_code,median_household_income
-8.91278e+18_-8.02921e+18,MI,ho4,1600.0,False,False,True,12,5,0,23.0,debit,False,2,generall_postal_code,39943.0
-8.83795e+18_-3.54515e+18,OR,ho4,1099.0,False,False,True,11,4,0,23.0,debit,False,1,generall_postal_code,57613.0
-8.8231e+18_4.36762e+18,TX,ho4,1099.0,True,True,True,11,1,0,46.0,debit,False,1,generall_postal_code,116962.0
-8.9811e+18_-5.55328e+18,IL,ho4,650.0,True,False,False,2,1,0,28.0,debit,False,1,generall_postal_code,28024.0
-9.00648e+18_-4.25068e+18,TX,ho4,1099.0,True,False,False,11,1,0,30.0,debit,False,1,generall_postal_code,39049.0
-9.2198e+18_1.06559e+18,CA,ho4,1302.0,True,False,False,4,1,0,38.0,debit,False,1,generall_postal_code,102838.0
-8.85859e+18_7.73206e+18,OH,ho4,1099.0,True,False,False,12,4,0,21.0,debit,False,2,generall_postal_code,40079.0
-8.8675e+18_-3.38232e+18,NY,ho4,800.0,True,False,False,1,1,1,38.0,debit,False,1,generall_postal_code,154213.0
-8.85747e+18_-8.93668e+18,IL,ho4,550.0,True,False,False,9,2,0,34.0,debit,False,1,generall_postal_code,74532.0
-8.85532e+18_-1.64673e+18,TX,ho4,1099.0,True,False,False,11,1,1,24.0,debit,False,1,generall_postal_code,66587.0
-9.03032e+18_-4.04446e+18,TX,ho4,1099.0,False,False,True,11,1,0,31.0,debit,False,1,generall_postal_code,66587.0
-9.20302e+18_-7.58462e+18,AR,ho4,1800.0,True,True,True,12,3,0,24.0,debit,False,2,generall_postal_code,93438.0
-9.17845e+18_-3.41429e+18,TX,ho4,1099.0,False,False,True,11,3,0,46.0,debit,False,1,generall_postal_code,69038.0
-8.84534e+18_-4.37505e+18,TX,ho4,1099.0,True,False,True,11,2,0,24.0,debit,False,1,generall_postal_code,67462.0
-9.17172e+18_-5.36903e+18,CA,ho4,1302.0,False,False,False,11,3,0,21.0,debit,False,1,generall_postal_code,81020.0
-8.85508e+18_8.97419e+18,TX,ho4,1099.0,True,False,True,11,2,0,29.0,credit,False,1,generall_postal_code,84709.0
-9.01307e+18_-7.42832e+18,AZ,ho4,860.0,False,False,False,12,2,0,45.0,debit,False,2,generall_postal_code,60756.0
-8.93323e+18_-5.81505e+18,TX,ho4,1099.0,True,False,True,11,1,2,39.0,credit,False,1,generall_postal_code,79033.0
-9.1874e+18_1.31913e+18,CA,ho4,1302.0,True,False,False,11,4,0,35.0,credit,False,1,generall_postal_code,44533.0
-9.16156e+18_9.11482e+18,GA,ho4,1416.0,True,False,True,11,1,0,24.0,debit,False,1,generall_postal_code,76552.0
-9.07347e+18_-8.43697e+18,TX,ho4,1099.0,True,False,False,11,3,0,42.0,credit,False,1,generall_postal_code,55507.0
-8.83159e+18_8.68053e+18,GA,ho4,1416.0,False,False,True,4,3,0,24.0,debit,False,1,generall_postal_code,45804.0
-9.11411e+18_6.74089e+18,CA,ho4,1302.0,False,False,False,9,2,1,40.0,prepaid,False,1,generall_postal_code,139833.0
-8.98325e+18_-5.42679e+18,TX,ho4,1099.0,True,False,True,11,1,2,26.0,debit,False,1,generall_postal_code,79500.0
-8.91988e+18_-9.11182e+18,OR,ho4,1099.0,False,False,False,11,3,0,34.0,credit,False,1,generall_postal_code,45620.0
-9.20389e+18_3.73657e+18,TX,ho4,1099.0,True,False,True,11,2,0,19.0,debit,False,1,generall_postal_code,23426.0
-9.15628e+18_4.64222e+18,CA,ho4,1302.0,True,False,False,7,2,1,22.0,debit,False,1,generall_postal_code,47536.0
-8.89538e+18_-4.91963e+18,TX,ho4,1099.0,False,False,True,11,1,0,22.0,debit,False,1,generall_postal_code,80562.0
-9.08504e+18_-3.86411e+18,NY,ho4,1080.0,True,False,False,5,1,0,30.0,credit,False,1,generall_postal_code,57866.0
